country,date,fatalities,flight_model,location,operator
USA,24-06-1929,1,Ford 5-AT-A Tri-Motor,"Saint Paul, MN",Northwest Airways
Germany,29-08-1929,0,Junkers G.24li,Emsland,AB Aerotransport
USA,03-09-1929,8,Ford 5-AT-B Tri-Motor,"near Gallup, NM",Transcontinental Air Transport - TAT
Iran,06-09-1929,3,de Havilland DH.66 Hercules,Jask Airport,Imperial Airways
Germany,10-09-1929,0,Rohrbach Ro X Romar I,near GrC6mitz,Deutsche Lufthansa
Belgium,19-10-1929,0,Sabca (Handley Page) W.8B,Edegem,Sabena
Italy,26-10-1929,7,Short S.8/1 Calcutta,near La Spezia,Imperial Airways
USA,28-10-1929,,Fokker F.10A,New Mexico,Western Air Express
Unknown country,??-OCT-1929,,Farman F.63bis Goliath,,SGTA
U.K.,06-11-1929,7,Junkers G.24bi,"near Godstone, Su...",Deutsche Lufthansa
Unknown country,18-11-1929,0,Rohrbach Ro X Romar I,,Deutsche Lufthansa
USA,27-11-1929,0,Fokker F.32,near Hempstead-Ro...,Fokker Aircraft Corp. of America
USA,04-12-1929,1,Curtiss B-2 Condor (Condor 18),"Goodwater, AL",USAAC
France,12-12-1929,0,Farman F.180T,Toussus-le-N...,SGTA
USA,26-12-1929,0,Fokker F.10,Oakland Muni...,Western Air Express
USA,19-01-1930,16,Ford 5-AT-C Tri-Motor,"Oceanside, CA",Maddux Airlines
Chile,07-02-1930,3,Junkers R-42 (G.24),near Punta Arenas,Chilean AF
USA,08-02-1930,0,Ford 4-AT-A Tri-Motor,"San Marcos, TX",Private
U.K.,10-02-1930,2,Farman F.63bis Goliath,"Marden, Kent",Air Union
Egypt,14-02-1930,0,de Havilland DH.66 Hercules,Gaza,Imperial Airways
USA,23-02-1930,3,Fokker F.10A,near San Bernardi...,Western Air Express
Argentina,02-03-1930,0,Ford 4-AT-A Tri-Motor,Cordoba,NYRBA
Argentina,08-04-1930,,Ford 5-AT-C Tri-Motor,Buenos Aires,Tri-Motor Safety Airways
P.N. Guinea,31-05-1930,,Handley Page W.9a Hampstead,Mount Misim,Ellyou Goldfields Development
USA,05-06-1930,1,Ford 5-AT-B Tri-Motor,"Boston, MA",Colonial Air Transport
USA,25-06-1930,0,Ford 5-AT-A Tri-Motor,Chicago Muni...,Northwest Airways
USA,25-06-1930,0,Fokker F.10A,"Chicago, IL",Universal Airlines
USA,25-06-1930,0,Fokker F.10A,"Chicago, IL",Universal Airlines
USA,25-06-1930,0,Fokker F.10A,"Chicago, IL",Universal Airlines
USA,25-06-1930,0,Fokker F.10A,"Chicago, IL",Universal Airlines
USA,25-06-1930,0,Fokker F.10,"Chicago, IL",Shell Oil
USA,25-06-1930,0,Fokker F.10,"Chicago, IL",Northern Airlines
Netherlands,09-07-1930,1,Farman F.63bis Goliath,Aalsmeer,SGTA
USA,12-07-1930,,Curtiss Condor 18,Valley Strea...,Curtiss
Nicaragua,04-08-1930,0,Ford JR-3 (5-AT-C) Tri-Motor,"Ocotal, Nuev...",USMC
Czech Rep.,22-08-1930,12,Ford 5-AT-C Tri-Motor,Jihlava (Iglau),CSA
Dominican Rep.,03-09-1930,0,Fokker F.10A,Santo Domingo,Pan Am
France,30-10-1930,3,Handley Page W.8g,"Boulogne, Paris",Imperial Airways
Brazil,07-11-1930,1,Junkers G.24,"near Iguape, SP",Syndicato Condor
USA,21-11-1930,0,Ford 4-AT-B Tri-Motor,"Burbank, CA",Curtiss-Wright Flying Service
Mediterranean Sea,21-11-1930,6,Dornier Do R4 Superwal,near Cap de Creus...,SANA
USA,22-11-1930,,Fokker F.10A,Dallas-Love ...,Southern Air Fast Express
USA,24-11-1930,2,Ford 5-AT-C Tri-Motor,"Dearborn, MI",Ford Motor Company
USA,20-12-1930,,Ford 4-AT-E Tri-Motor,"Jennerstown, PA",Pittsburgh Airways
USA,22-12-1930,1,Fokker F.10,"Alhambra, CA",Western Air Express
Russia,??-???-1930,,Junkers JuG-1W (G.24),,Soviet AF
USA,27-01-1931,0,Ford 5-AT-B Tri-Motor,"Harrisburg, PA",TWA
Peru,21-02-1931,0,Ford Tri-Motor,Arequipa Air...,Panagra
USA,31-03-1931,8,Fokker F.10A,"near Bazaar, KS",TWA
Chile,01-04-1931,0,Ford 5-AT-C Tri-Motor,Ovalle Airpo...,Panagra
India,17-04-1931,0,Ford 5-AT-C Tri-Motor,"near Mohania, Bihar",Private
France,18-04-1931,0,Junkers F.24ko (G.24),Gex (Ain),Deutsche Lufthansa
Indonesia,19-04-1931,0,de Havilland DH.66 Hercules,near Kupang,Imperial Airways
U.K.,22-04-1931,0,Armstrong Whitworth Argosy II,London-Croyd...,Imperial Airways
USA,29-04-1931,0,Ford 5-AT-C Tri-Motor,"near Elyria, OH",National Air Transport
Sweden,11-06-1931,0,Junkers G.24,MalmC6-Bullto...,AB Aerotransport
Egypt,16-06-1931,0,Armstrong Whitworth Argosy IA,Aswan,Imperial Airways
Netherlands,04-08-1931,0,Fokker F.IX,Rotterdam-Wa...,KLM
USA,07-08-1931,,Fokker F.10A,"Miami, FL",Mexicana
USA,09-08-1931,6,Ford 5-AT-B Tri-Motor,"Cincinnati, OH",American Airways
USA,19-08-1931,0,Ford 5-AT-B Tri-Motor,"Pittsburgh, PA",TWA
USA,19-09-1931,2,Ford XB-906 (Tri-Motor),"near Dearborn, MI",Ford Motor Company
USA,27-10-1931,0,Ford 5-AT-C Tri-Motor,"Ashley, IN",National Air Transport
USA,19-12-1931,1,Ford 4-AT-E Tri-Motor,Oklahoma Cit...,TWA
USA,08-02-1932,,Fokker F.10A,"Detroit, MI",Transamerican Airlines
USA,15-03-1932,0,Ford 4-AT-B Tri-Motor,Blackwell Ai...,Skyway
USA,19-03-1932,7,Fokker F.10A,"Calimesa, CA",American Airways
Russia,27-06-1932,,Junkers PS-5 (G.24),Nizhnetambovsk,Dobrolet
USA,10-07-1932,0,Boeing 80A,"Sterling, IL",Boeing Air Transport
Chile,16-07-1932,9,Ford 5-AT-C Tri-Motor,near Vitacura,Panagra
Germany,29-07-1932,0,Junkers Ju-52/3mce,near Schleissheim...,Deutsche Lufthansa
Netherlands,31-08-1932,2,Junkers G.24,Tubbergen,AB Aerotransport
USA,08-09-1932,3,Fokker F.10A,"near Salt Flat, TX",American Airways
U.K.,17-09-1932,1,LiorC) et Olivier 212,Selsdon Park,Air Union
Honduras,02-10-1932,0,Ford 5-AT-B Tri-Motor,"El Aceituno,...",Pan Am
Bolivia,26-10-1932,2,Ford 5-AT-D Tri-Motor,"Villamontes,...",LAB
USA,11-12-1932,,Fokker F.10A,"Lynndyl, UT",Western Air Express
USA,14-12-1932,2,Ford 5-AT-B Tri-Motor,Amarillo-Eng...,TWA
France,13-01-1933,,LiorC) et Olivier 213,Poix-de-Pica...,Air Union
USA,14-01-1933,2,Curtiss Condor 18,"Newark, NJ",Eastern Air Transport
USA,24-01-1933,2,Ford 5-AT-D Tri-Motor,"Eugene, OR",Pacific Air Transport
USA,10-02-1933,0,Ford 5-AT-B Tri-Motor,"Bakersfield, CA",TWA
USA,21-03-1933,,Ford JR-3 (5-AT-C) Tri-Motor,Virginia Bea...,USMC
Belgium,28-03-1933,15,Armstrong Whitworth Argosy II,near Diksmuide,Imperial Airways
USA,31-03-1933,7,Ford 4-AT-B Tri-Motor,"near Neodesha, KS",Private
Germany,27-05-1933,,Junkers Ju-52/1mcai,Zechliner HC<tte,RDL
USA,02-06-1933,0,Ford 4-AT-E Tri-Motor,Hempstead-Ro...,Plane Speaker Corporation
Spain,11-08-1933,0,Dornier Do R4 Superwal,near Valencia,SANA
Russia,13-08-1933,,Junkers PS-5 (G.24),,Dobrolet
USA,29-08-1933,5,Ford 5-AT-B Tri-Motor,"near Quay, NM",TWA
USA,21-09-1933,,Curtiss T-32 Condor II,"Newark, NJ",Eastern Air Transport
Nicaragua,18-10-1933,3,Ford 4-AT-B Tri-Motor,Managua,Private
France,16-11-1933,0,LiorC) et Olivier 213,near Beauvais,Air France
Ukraine,21-11-1933,14+ 1,Kalinin K-7,near Kharkov,Kalinin Design Bureau
Mexico,24-11-1933,,Fokker F.10A,LeC3n,AerovC-as Centrales
France,15-01-1934,10,Dewoitine D.332,Corbigny,Air France
Honduras,05-03-1934,1,Ford 4-AT-B Tri-Motor,ToncontC-n,Morgan Air Lines
Poland,10-03-1934,,Junkers F.24k2ay (G.24),Gliwice,Deutsche Lufthansa
Peru,22-03-1934,3,Ford 5-AT-C Tri-Motor,Lima Airport...,Panagra
U.K.,31-05-1934,2,LiorC) et Olivier 213,Croydon,Air France
USA,09-06-1934,7,Curtiss T-32 Condor II,near Livingston M...,American Airways
USA,11-06-1934,0,Ford C-4A (5-AT-D) Tri-Motor,"Camp Skeel, ...",USAAC
Argentina,11-06-1934,5,Ford 5-AT-C Tri-Motor,Junin,Panagra
USA,23-06-1934,0,Ford 4-AT-B Tri-Motor,"Columbus, OH",Mulzer Flying Service
USA,01-07-1934,0,Ford 4-AT-D Tri-Motor,"Lima, OH",Private
Germany,27-07-1934,12,Curtiss AT-32C Condor II,Wurmlingen/T...,Swissair
Russia,23-08-1934,,Junkers PS-5 (G.24),,Dobrolet
USA,02-09-1934,0,Ford 5-AT-D Tri-Motor,"Cochrane, WI",Hanford's Tri-State Airlines
U.K.,22-09-1934,4,Handley Page W.10,Aston Clinto...,National Aviation Displays
Mexico,27-09-1934,,Fokker F.10A,Irapuato,Mexicana
Australia,19-10-1934,11,de Havilland DH.86 Express,near Wilsons Prom...,Holyman's Airways
USA,26-10-1934,0,Ford 4-AT-E Tri-Motor,Flat Airport...,Ptarmigan Airlines
Honduras,29-10-1934,0,Ford 4-AT-.  Tri-Motor,La Ceiba Air...,TACA de Honduras
Germany,06-11-1934,5,Junkers Ju-52/3mge,Gross-Rackit...,Deutsche Reichsbahn-Gesellschaft
Australia,15-11-1934,4,de Havilland DH.86 Express,"near Ilfracombe, QLD",Qantas
Cuba,10-12-1934,4,Ford 4-AT-E Tri-Motor,near Palma Soriano,Cubana
USA,19-12-1934,,Curtiss AT-32B Condor II,"Buffalo, NY",American Airways
Iraq,20-12-1934,7,Douglas DC-2-115A,near Rutbah Wells,KLM
USA,28-12-1934,0,Curtiss T-32C Condor II,"near Wilmurt, NY",American Airways
Mexico,??-???-1934,0,Ford 4-AT-B Tri-Motor,"Boca Chica, ...",Private
USA,23-01-1935,,Curtiss T-32 Condor II,"Atlanta, GA",Eastern Air Transport
Poland,31-01-1935,11,Junkers Ju-52/3mge,near Szczecin,Deruluft
USA,16-04-1935,0,Consolidated 16 Commodore,"Miami, FL",Pan Am
Germany,25-04-1935,3,Junkers Ju-52/3mho,near Hallgarten,Deutsche Lufthansa
USA,28-04-1935,0,Ford 4-AT-B Tri-Motor,"Gadsden, AL",Private
USA,06-05-1935,5,Douglas DC-2-112,"near Atlanta, MO",TWA
Guatemala,07-05-1935,1,Ford 4-AT-.  Tri-Motor,Lake Izabal,private
Russia,18-05-1935,35+ 9,Tupolev ANT-20 Maxim Gorky,Moscow,Tupolev
USA,18-05-1935,3,Ford 4-AT-E Tri-Motor,Flint-Bishop...,Knowles Flying Service
Malta,22-06-1935,0,Savoia-Marchetti S-66,Marsaxlokk Bay,Ala Littoria
Colombia,24-06-1935,10,Ford 5-AT-B Tri-Motor,MedellC-n-Enr...,SACO
Colombia,24-06-1935,7,Ford 5-AT-D Tri-Motor,MedellC-n-Enr...,SCADTA
Spain,09-07-1935,0,Savoia-Marchetti S-66,"near MahC3n, Menorca",Ala Littoria
Netherlands,14-07-1935,6,Fokker F.XXII,near Amsterdam-Sc...,KLM
Iran,17-07-1935,0,Douglas DC-2-115E,Bushehr (Bus...,KLM
Switzerland,20-07-1935,13,Douglas DC-2-115E,Pian San Gia...,KLM
Germany,22-07-1935,11,Junkers Ju-52/3m,HanskC<hnenburg,German AF
USA,27-07-1935,0,Curtiss AT-32B Condor II,Murfreesboro...,American Airways
USA,03-08-1935,0,Douglas DC-2-112,"near Albuquerque, NM",TWA
Australia,02-10-1935,5,de Havilland DH.86 Express,near Flinders Isl...,Holyman's Airways
USA,06-10-1935,3,Douglas DC-2A-127,Great Salt L...,Standard Oil Company
USA,21-10-1935,1,Curtiss Condor 18,"Troy, NY",Chamberlin Flying Service
Austria,22-10-1935,0,de Havilland DH.86 Express,Zwettl,Imperial Airways
China,24-10-1935,0,Ford 5-AT-C Tri-Motor,Hankow,Private
U.K.,07-11-1935,0,Savoia-Marchetti S.73P,London-Croyd...,Sabena
Honduras,09-11-1935,0,Ford 5-AT-.  Tri-Motor,near Jutiapa,TACA de Honduras
Italy,09-11-1935,0,Short S.17 Kent,Brindisi,Imperial Airways
Uganda,23-11-1935,,de Havilland DH.66 Hercules,Lake Salisbury,Imperial Airways
Brazil,??-NOV-1935,,Junkers G.24,"IlhC)us, BA",Syndicato Condor
U.K.,10-12-1935,11,Savoia-Marchetti S.73,Tatsfield,Sabena
France,10-12-1935,0,Potez 62,near Auxerre,Air France
Peru,24-12-1935,2+ 2,Ford 5-AT-D Tri-Motor,Lima,Panagra
Egypt,31-12-1935,12,Short S.8 Calcutta,near Alexandria,Imperial Airways
Germany,??-???-1935,,Junkers F.24ko (G.24),,Deutsche Lufthansa
USA,14-01-1936,17,Douglas DC-2-120,"Goodwin, AR",American Airlines
Colombia,14-01-1936,13,Junkers Ju-52/3m,near Tres Esquina...,Colombian AF
Bolivia,17-01-1936,13,Junkers Ju-52/3mce,near Cochabamba,LAB
Switzerland,28-02-1936,0,Douglas DC-2-115B,ZC<rich-DC<ben...,Swissair
China,05-03-1936,0,Ford 5-AT-D Tri-Motor,near Zigong,CNAC
Austria,16-03-1936,0,Junkers Ju-52/3m,Saualpe,CLAG
Mexico,26-03-1936,14,Ford 5-AT-B Tri-Motor,near Amecameca de...,Mexicana
China,31-03-1936,0,Ford 5-AT-D Tri-Motor,Nanking Airp...,CNAC
USA,07-04-1936,12,Douglas DC-2-112,"near Fairchance, PA",TWA
Trinidad & Tobago,11-04-1936,3,Sikorsky S-42,Port of Spain,Pan Am
Switzerland,17-04-1936,3,Junkers Ju-52/3m,Orvin (Ilfin...,Deutsche Lufthansa
Netherlands,20-04-1936,0,Douglas DC-2-115K,near Elburg,CLS
Mediterranean Sea,08-05-1936,0,LiorC)-et-Olivier H.242/1,near Algerian coast,Air France
USA,31-05-1936,0,Douglas DC-2-172,near Chicago Muni...,TWA
Germany,??-MAY-1936,,Junkers G.31fo,,Reichsluftfahrtministerium
Sweden,09-06-1936,2,Fokker F.XXII,MalmC6-Bullto...,AB Aerotransport
Norway,16-06-1936,7,Junkers Ju-52/3m,Mount Lihest...,DNL
Egypt,07-07-1936,7,Vickers Valentia,Mersa Matruh...,RAF
USA,09-07-1936,0,Curtiss Condor 18,Terre Haute-...,Chamberlin Flying Service
Germany,20-07-1936,2,Junkers Ju-52/3m,Oberhof,German AF
Germany,20-07-1936,2,Junkers Ju-52/3m,Oberhof,German AF
USA,22-07-1936,,Douglas C-33 (DC-2),"near Dunreith, IN",USAAC
Germany,26-07-1936,0,Junkers G.38di,Dessau,Deutsche Lufthansa
Chile,29-07-1936,0,Curtiss T-32C Condor II,CopiapC3 Airp...,LAN Chile
USA,08-08-1936,0,Ford 4-AT-B Tri-Motor,"Hundred, WV",Private
Germany,12-08-1936,2,de Havilland DH.86 Express,near Altenkirchen,British Airways
USA,13-08-1936,,Curtiss AT-32A Condor II,"Glendale, CA",American Airlines
Greece,22-08-1936,2,Short S.17 Kent,Mirabella Ba...,Imperial Airways
U.K.,15-09-1936,3,de Havilland DH.86A Express,London-Gatwi...,British Airways
Germany,19-09-1936,,Junkers Ju-52/3mfe,Frankfurt,Deutsche Lufthansa
Libya,24-09-1936,9,CANT Z.506,near Benghazi,Ala Littoria
India,29-09-1936,0,Armstrong Whitworth AW.15 Atalanta,Delhi,Imperial Airways
Guatemala,10-10-1936,3,Douglas DC-2-118B,near San JosC) Pinula,Panagra
Germany,01-11-1936,11,Junkers Ju-52/3mge,near Tabarz,Deutsche Lufthansa
Spain,04-11-1936,,Junkers Ju-52/3mge,near Madrid,HISMA
Spain,05-11-1936,,Junkers Ju-52/3m,near Algordon,HISMA
Germany,17-11-1936,4,Junkers Ju-52/3mge,near Lauf an der ...,Deutsche Lufthansa
Spain,25-11-1936,,Junkers Ju-52/3m,near Cuatro Vientos,HISMA
Germany,28-11-1936,,Junkers Ju-52/3m,near Hannover,Deutsche Lufthansa
France,04-12-1936,6,Junkers Ju-52/3m,Le Grand-Bor...,Deutsche Lufthansa
U.K.,09-12-1936,15,Douglas DC-2-115E,London-Croyd...,KLM
USA,19-12-1936,0,Douglas DC-2-112,"near Milford, PA","North American Aviation, op.for Eastern Air Lines"
China,25-12-1936,,Douglas DC-2-118A,Chengtu,CNAC
Greece,28-12-1936,0,Short S.8 Calcutta,Mirabellou G...,Imperial Airways
China,28-12-1936,,Douglas DC-2-118B,near Nanking Airp...,CNAC
Peru,??-???-1936,,Curtiss AT-32C Condor II,Pias,CC3ndor Peruana de AviaciC3n
Spain,03-01-1937,,Junkers Ju-52/3m,,HISMA
USA,20-01-1937,0,Ford 5-AT-C Tri-Motor,"Sioux City, IA",DePonti Aviation Company
Algeria,26-01-1937,12,Sabca Savoia-Marchetti S.73P,near Oran-es Seni...,Sabena
USA,09-02-1937,11,Douglas DC-3A-197,near San Francisc...,United Airlines
Spain,16-02-1937,,Junkers Ju-52/3m,Jarama,HISMA
USA,18-02-1937,,Douglas DC-2-112,"near Atlanta, GA",Eastern Air Lines
Spain,13-03-1937,,Junkers Ju-52/3m,Guadalajara,HISMA
Germany,16-03-1937,3,de Havilland DH.86 Express,Elsdorf,Imperial Airways
France,24-03-1937,5,Short S.23 Empire Flying Boat Mk I,near Ouroux,Imperial Airways
USA,25-03-1937,13,Douglas DC-2-112,"near Clifton, PA",TWA
Spain,??-MAR-1937,,Douglas DC-2-115B,Valencia,LAPE
Unknown country,??-MAR-1937,,Douglas DC-2-115B,unknown,LAPE
USA,01-04-1937,0,Ford 5-AT-C Tri-Motor,Lake Spenard...,Star Air Service
USA,03-04-1937,8,Douglas DC-3-194B,"near McNary, AZ",KLM
Spain,06-04-1937,0,Douglas DC-2-115M,Santander-La...,LAPE
Germany,06-04-1937,,Junkers Ju-52/3mg3e,Liegnitz,German AF
USA,07-05-1937,,Douglas C-33 (DC-2),Clay Springs...,USAAC
USA,29-05-1937,0,Ford 4-AT-B Tri-Motor,"Belleville, IL",Private
Pakistan,31-05-1937,0,Handley Page HP.42E,Karachi,Imperial Airways
Chile,02-06-1937,9,Sikorsky S-43,near Ancud,Chilean AF
South Africa,16-06-1937,1,Junkers Ju-52/3msai,Johannesburg...,South African Airways
Spain,26-07-1937,,Junkers Ju-52/3m,,HISMA
Belgium,28-07-1937,15,Douglas DC-2-115L,near Beert,KLM
China,01-08-1937,,Junkers Ju-52/3m,Kunming,Eurasia
Panama,02-08-1937,14,Sikorsky S-43B,near CristC3bal,Panagra
Sudan,02-08-1937,9,Savoia-Marchetti S.73,Wadi Halfa A...,Ala Littoria
Romania,06-08-1937,6,Douglas DC-2-152,"near Herina, Bist...",Aeroflot / International
China,08-08-1937,3,Sikorsky S-43W,Chilang Poin...,CNAC
USA,10-08-1937,4,Douglas DC-2-112,Daytona Beac...,Eastern Air Lines
Spain,14-08-1937,,Junkers Ju-52/3m,,HISMA
USA,21-08-1937,0,Ford 5-AT-C Tri-Motor,"Fairbanks, AK",Republic Oil Co.
Argentina,23-08-1937,3,Douglas DC-2-118A,"near San Luis, SL",Panagra
Spain,14-09-1937,,Junkers Ju-52/3m,SariC1ena (Hu...,HISMA
USA,27-09-1937,0,Curtiss T-32C Condor II,New York-Flo...,Private
USA,27-09-1937,0,Curtiss AT-32B Condor II,New York-Flo...,American Airlines
USA,27-09-1937,0,Curtiss AT-32D Condor II,,American Airlines
Nicaragua,28-09-1937,,Ford 5-AT-B Tri-Motor,near Puerto Cabezas,TACA Guatemala
Greece,01-10-1937,3,Short S.23 Empire Flying Boat Mk I,Faliro Bay,Imperial Airways
Indonesia,06-10-1937,4,Douglas DC-3-194B,Palembang-Ta...,KLM
Spain,15-10-1937,,Junkers Ju-52/3m,,HISMA
USA,17-10-1937,19,Douglas DC-3A-197,"near Knight, WY",United Airlines
Germany,25-10-1937,,Junkers Ju-52/3m,Tutow,German AF
Morocco,27-10-1937,6,Dewoitine D.333,near El Jadida,Air France
Belgium,16-11-1937,11,Junkers Ju-52/3mge,near Stene Airfield,Sabena
Bulgaria,23-11-1937,6,Douglas DC-2-115D,Pirin Mountains,LOT
U.K.,26-11-1937,3,Junkers Ju-52/3mfe,London-Croyd...,Deutsche Lufthansa
Germany,??-NOV-1937,,Junkers Ju-52/3mge,Roggentin,DVL
Italy,05-12-1937,2,Short S.23 Empire Flying Boat Mk I,Brindisi,Imperial Airways
France,08-12-1937,2,Potez 621,"Valence, DrC4me",Air France
Bolivia,15-12-1937,8,Junkers Ju-52/3mce,near Sorata,LAB
Germany,04-01-1938,6,Junkers Ju-52/3mte,Frankfurt,Deutsche Lufthansa
USA,10-01-1938,10,Lockheed 14-H Super Electra,"near Bozeman, MT",Northwest Airlines
Pacific Ocean,11-01-1938,7,Sikorsky S-42B,"near Pago Pago, A...",Pan Am
Spain,13-01-1938,,Junkers Ju-52/3m,Barcelona,AviaciC3n Nacional
USA,02-02-1938,3,Consolidated PBY-2 Catalina,near San Clemente...,US Navy
USA,02-02-1938,7,Consolidated PBY-2 Catalina,near San Clemente...,US Navy
Germany,07-02-1938,1,Junkers Ju-90V1,Dessau,Junkers
France,09-02-1938,7,LiorC)-et-Olivier H.242/1,C	tang de Berre,Air France
Mediterranean Sea,13-02-1938,14,CANT Z.506,"near Sardinia, Italy",Ala Littoria
France,22-02-1938,3,Junkers Ju-52/3mge,near Pontoise,Deutsche Lufthansa
USA,01-03-1938,9,Douglas DC-2-112,"near Wawona, CA",TWA
India,07-03-1938,7,Potez 62,"Datia, Madhy...",Air France
Russia,17-03-1938,0,Tupolev G-2,Buhkta Teplits,Polyarnaya Aviatsiya
France,23-03-1938,8,Dewoitine D.338,French PyrC)nC)es,Air France
Hungary,28-03-1938,,WM Fokker F.VIIIb,near NyC-regyhC!za,Malert
Italy,30-03-1938,0,Junkers Ju-52/3m,near Venezia Lido...,Ala Littoria
Jamaica,25-04-1938,0,Sikorsky S-43B,near Kingston,Pan Am
Italy,30-04-1938,19,Savoia-Marchetti S.73,"Maranola, Fo...",Ala Littoria
Chile,10-05-1938,0,Ford 5-AT-C Tri-Motor,,LAN Chile
Colombia,13-05-1938,0,Ford 5-AT-DS Tri-Motor,near QuibdC3,SCADTA
USA,16-05-1938,9,Lockheed 14-H2 Super Electra,"near Saugus, CA",Northwest Airlines
Chile,22-05-1938,,Curtiss T-32C Condor II,Domeyko,LAN Chile
Brazil,22-05-1938,6,Junkers Ju-52/3mge,Santos Airpo...,Syndicato Condor
USA,24-05-1938,10,Douglas DST-A-207A (DC-3),near Cleveland Mu...,United Airlines
Chile,19-06-1938,4,Douglas DC-2-118A,Mt Mercedario,Panagra
Peru,26-06-1938,7,Junkers Ju-52/3mge,Cerro Chilligua,Deutsche Lufthansa Sucursal PerC:
USA,02-07-1938,0,Curtiss YC-30 Condor II,Maxwell Fiel...,USAAC
USA,08-07-1938,1,Lockheed 14-H Super Electra,Billings Mun...,Northwest Airlines
Mediterranean Sea,14-07-1938,20,Savoia-Marchetti S-66,"near Terranova, S...",Ala Littoria
Argentina,15-07-1938,0+ 1,Douglas DC-3-228,"MorC3n, BA",Pan Am
China,16-07-1938,,Junkers Ju-52/3mge,Wuhan (Hankow),Eurasia
Romania,22-07-1938,14,Lockheed 14-H Super Electra,"Negrileasa, ...",LOT
Kenya,27-07-1938,4,Armstrong Whitworth AW.15 Atalanta,near Kisumu,Imperial Airways
Pacific Ocean,28-07-1938,15,Martin M-130,"near Manila, Phil...",Pan Am
Hungary,10-08-1938,12,WM Fokker F.VIIIb,near Debrecen Air...,Malert
USA,11-08-1938,0,Ford 5-AT-C Tri-Motor,"Mankato, MN",Private
Germany,13-08-1938,17,Savoia-Marchetti S.73,Oberkirch,CSA
Brazil,15-08-1938,9,Junkers Ju-52/3mfe,Guanabara Bay,Syndicato Condor
Romania,18-08-1938,0,Lockheed 14-H Super Electra,Bucharest-Ba...,LOT
Italy,18-08-1938,13,Macchi M.C.94-II,Mornago (Var...,Macchi
Spain,20-08-1938,,Junkers Ju-52/3m,,AviaciC3n Nacional
China,24-08-1938,14,Douglas DC-2-221,Wangmoon,CNAC
USA,03-09-1938,0,Ford 5-AT-D Tri-Motor,"Big Prairie, MT",Johnson Flying Service
Spain,07-09-1938,,CANT Z.506C,Melilla,Ala Littoria
U.K.,20-09-1938,2,Short Sunderland I,"Angle Bay, M...",RAF
Switzerland,01-10-1938,13,Junkers Ju-52/3mte,Grisons (Gra...,Deutsche Lufthansa
Germany,10-10-1938,20,Sabca Savoia-Marchetti S.73P,Soest,Sabena
Brazil,12-10-1938,,Junkers G.24,"Coruripe, AL",Syndicato Condor
USA,18-10-1938,0,Douglas DC-2-112,near Montgomery M...,Eastern Air Lines
USA,20-10-1938,1,Ford 4-AT-B Tri-Motor,Powellsville...,Private
Australia,25-10-1938,18,Douglas DC-2-210,Mt Dandenong...,ANA
U.K.,04-11-1938,13+ 1,de Havilland DH.86 Express,Jersey-State...,Jersey Airways
Japan,10-11-1938,,Douglas DC-3,Fukuoka,Japan Air Transport
Netherlands,14-11-1938,6,Douglas DC-3-194D,Amsterdam-Sc...,KLM
Pacific Ocean,18-11-1938,2,Consolidated PBY-2 Catalina,near Hawaii,US Navy
Canada,18-11-1938,2,Lockheed 14-H2 Super Electra,near Regina Airpo...,TCAL
U.K.,22-11-1938,2,Lockheed 14-WF62 Super Electra,"Walton Bay, ...",British Airways
Austria,22-11-1938,4,Savoia-Marchetti SM-75C,near Winklern,Ala Littoria
Germany,25-11-1938,4,Junkers Ju-52/3m,near Bayreuth,German AF
Gambia,26-11-1938,12,Junkers Ju-90V2,Bathurst (Ba...,Deutsche Lufthansa
Iraq,27-11-1938,4,Short S.23 Empire Flying Boat Mk I,Lake Habbaniyah,Imperial Airways
USA,29-11-1938,5,Douglas DC-3A-191,"near Point Reyes, CA",United Airlines
Austria,02-12-1938,0,Junkers Ju-52/3mte,near Vienna,Deutsche Lufthansa
Thailand,03-12-1938,,de Havilland DH.86 Express,Bangkok,Imperial Airways
Philippines,06-12-1938,0,Focke-Wulf Fw 200,near Manila,Deutsche Lufthansa
Japan,08-12-1938,10,Nakajima/Douglas DC-2,near Kerama Islands,Imperial Japanese Airways
Netherlands,09-12-1938,4,Lockheed 14-WF62 Super Electra,near Amsterdam-Sc...,KLM
China,10-12-1938,,Lockheed 14-WG3B Super Electra,Tsingtao (Qu...,Imperial Japanese Airways
Ecuador,11-12-1938,0,Junkers Ju-52/3mge,Quito-Cotoco...,SEDTA
France,07-01-1939,5,Douglas DC-2-115B,near Senlis,Swissair
USA,13-01-1939,4,Lockheed 14-H Super Electra,Miles City M...,Northwest Airlines
Brazil,13-01-1939,10,Junkers Ju-52/3mge,"Rio Bonito, RJ",Syndicato Condor
Colombia,17-01-1939,4,Ford 5-AT-.  Tri-Motor,near Sumapaz,SCADTA
Australia,18-01-1939,4,Lockheed 14-H Super Electra,near Katherine-Ti...,Guinea Airways
Atlantic Ocean,21-01-1939,3,Short S.23 Empire Flying Boat Mk II,near Port Washing...,Imperial Airways
France,24-01-1939,4,Junkers Ju-52/3m,near Arrens,German AF
Germany,27-01-1939,6,Potez 62,near KC6ln-Butzwei...,Air France
Spain,13-02-1939,,Junkers Ju-52/3m,near Cartagena,AviaciC3n Nacional
Puerto Rico,19-02-1939,0,Sikorsky S-42A,San Juan harbor,Pan Am
