country,date,fatalities,flight_model,location,operator
USA,??-???-1947,,Douglas C-47A (DC-3),Anchorage-Me...,Reeve Aleutian Airways
Unknown country,??-???-1947,,Douglas R4D-1 (DC-3),unknown,USMC
Morocco,02-01-1948,0,Amiot AAC.1 (Junkers Ju-52),Casablanca,SOCOTRA
South Africa,05-01-1948,0,Lockheed 18 Lodestar,Johannesburg...,South African Airways
France,06-01-1948,16,Douglas DC-3D,near Gonesse,Air France
U.K.,06-01-1948,1,Vickers 610 Viking 1B,Ruislip,BEA
USA,07-01-1948,18,Douglas C-47A (DC-3),"near Savannah, GA",Coastal Air Lines
U.K.,07-01-1948,0,Douglas Dakota IV (DC-3),Waterbeach R...,RAF
Egypt,10-01-1948,0,Douglas Dakota IV (DC-3),near Cairo,RAF
Colombia,10-01-1948,0,Consolidated PBY-5A Catalina,near Madrid Airport,VIARCO
Dominican Rep.,11-01-1948,32,Douglas C-47 (DC-3),near YamasC!,Dominicana
Italy,13-01-1948,0,Douglas C-54A (DC-4),Ponte Galeria,FAMA
Mexico,13-01-1948,,Douglas DC-3A-228F,Guaymas,Mexicana
USA,13-01-1948,5,Douglas DC-3-201F,"Oxon Hill, MD",Eastern Air Lines
USA,18-01-1948,1,Douglas C-47A (DC-3),Camp Springs...,USAF
China,20-01-1948,11,Curtiss C-46,Mukden Airpo...,CNAC
USA,21-01-1948,0,Lockheed L-649 Constellation,Boston-Logan...,Eastern Air Lines
Philippines,21-01-1948,0,Douglas DC-3,Iloilo-Mandu...,Philippine Air Lines
USA,21-01-1948,3,Douglas C-47 (DC-3),"near Ward, CO",CAA
Morocco,21-01-1948,3,Amiot AAC.1 (Junkers Ju-52),Moulouya,French AF
USA,24-01-1948,4,Lockheed R5O-4 Lodestar,"Baltimore, MD",US Coast Guard
Mediterranean Sea,25-01-1948,5,Bristol 170 Freighter 21E,near Cyprus,SITA
France,26-01-1948,9,SNCASE SE.161/P7 Languedoc,near Paris-Le Bou...,Air France
Portugal,27-01-1948,3,Douglas C-47A (DC-3),Monte de Cap...,TAP
France,27-01-1948,11,Douglas C-47B (DC-3),Montagne du ...,USAF
USA,28-01-1948,32,Douglas C-47B (DC-3),"near Coalinga, CA",Airline Transport Carriers
Atlantic Ocean,30-01-1948,31,Avro 688 Tudor 1,western Atla...,BSAA
Lebanon,30-01-1948,,Douglas C-47A (DC-3),Beirut Inter...,MEA
France,04-02-1948,,SNCASE SE.161/P7 Languedoc,Marignane,Air France
India,06-02-1948,0,Vickers 632 Viking 1B,Bombay-Santa...,Air-India
USA,07-02-1948,1,Lockheed L-649 Constellation,"near Brunswick, GA",Eastern Air Lines
USA,07-02-1948,4,Douglas C-47D (DC-3),"near Saluda, NC",USAF
U.K.,09-02-1948,0,Short Sunderland GR.5,Wig Bay,RAF
Indonesia,10-02-1948,19,Douglas C-47B (DC-3),near Padalarang,KLM Interinsulair Bedrijf
France,10-02-1948,,SNCASE SE.161/P7 Languedoc,Paris,Air France
Mexico,10-02-1948,1,Douglas DC-3,near Ciudad del C...,Gulf Transportation Co.
Germany,12-02-1948,12,Douglas C-53-DO (DC-3),Ulrichstein,DDL
U.K.,16-02-1948,0,Avro 685 York C.1,Hullavington...,RAF
Italy,20-02-1948,7,Douglas C-47 (DC-3),Collesalvetti,Aerea Teseo
France,21-02-1948,19,LatC)coC(re 631,near St. Marcouf,LatC)coC(re
Venezuela,23-02-1948,0,Douglas C-47 (DC-3),near La Grita,LAV
Philippines,23-02-1948,12,Douglas DC-3,Mati,Commercial Airways
USA,25-02-1948,1,Douglas C-47A (DC-3),"near Columbus, OH",Bruning Aviation
South Africa,26-02-1948,0+ 1,Douglas C-47B (DC-3),Swartkop Air...,South African AF
Brazil,27-02-1948,23,Douglas C-47A (DC-3),"near Breves, PA",Brazilian AF
Malta,28-02-1948,0,Short Sunderland GR.5,Kalafrana,RAF
USA,01-03-1948,0,Fairchild C-82A Packet,"Mobile, AL",USAF
U.K.,02-03-1948,20,Douglas DC-3C,London Airpo...,Sabena
France,02-03-1948,4,Amiot AAC.1 (Junkers Ju-52),near Perpignan,STA
Russia,07-03-1948,20,Lisunov Li-2,near Kharp,Polyarnaya Aviatsiya
USA,08-03-1948,2,Douglas C-47A (DC-3),"near San Jose, CA",Eagle Air Freight
Indonesia,08-03-1948,0,PB2B-1 Canso A (PBY-5A),"Poso, Sulawesi",KLM Interinsulair Bedrijf
USA,10-03-1948,0,Douglas C-54B (DC-4),Tulsa Intern...,American Airlines
USA,10-03-1948,12,Douglas DC-4,Chicago Muni...,Delta Air Lines
USA,12-03-1948,30,Douglas C-54G (DC-4),Mount Sanfor...,Northwest Airlines
Brazil,13-03-1948,6,Douglas DC-3A,Juqueri Rang...,Cruzeiro do Sul
Colombia,15-03-1948,14,Douglas C-47 (DC-3),near ChocontC!,Agencia Interamericana
Russia,16-03-1948,0,Lisunov Li-2,Vorkuta Airp...,Polyarnaya Aviatsiya
USA,21-03-1948,6,Douglas C-47D (DC-3),"near Woodland, WA",USAF
